timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692936610663,149,HTTP Request,200,OK,Thread Group 1-1,text,true,,3244,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json?catalogue=false,149,0,88
1692936610929,39,JSR223 Sampler,200,OK,Thread Group 1-1,text,true,,1,0,1,1,null,0,0,0
1692936611009,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,3769,0,1,1,null,0,0,0
1692936611104,107,HTTP Request,200,OK,Thread Group 1-1,text,true,,3244,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json?catalogue=false,107,0,38
1692936611223,1,JSR223 Sampler,200,OK,Thread Group 1-1,text,true,,1,0,1,1,null,0,0,0
1692936611245,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,3769,0,1,1,null,0,0,0
1692936611349,107,HTTP Request,200,OK,Thread Group 1-1,text,true,,1966,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false,107,0,39
1692936611469,0,JSR223 Sampler,200,OK,Thread Group 1-1,text,true,,1,0,1,1,null,0,0,0
1692936611475,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,3791,0,1,1,null,0,0,0
1692936611481,92,HTTP Request,200,OK,Thread Group 1-1,text,true,,810,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false,92,0,35
1692936611601,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,3675,0,1,1,null,0,0,0
1692936611637,95,HTTP Request,200,OK,Thread Group 1-1,text,true,,810,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false,95,0,36
1692936611974,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,3675,0,1,1,null,0,0,0
1692936612149,100,HTTP Request,200,OK,Thread Group 1-1,text,true,,3253,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false,100,0,39
1692936612263,0,JSR223 Sampler,200,OK,Thread Group 1-1,text,true,,1,0,1,1,null,0,0,0
1692936612268,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,3810,0,1,1,null,0,0,0
1692936612376,104,HTTP Request,200,OK,Thread Group 1-1,text,true,,810,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false,104,0,42
1692936612523,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,3675,0,1,1,null,0,0,0
